,alpha,heuristic,inductive,ILP,split
inst1,0.4046305085229718,0.48554987896857005,0.5086752483370877,0.48555764314641936,0.5681416692327534
inst2,0.43141334394681363,0.5294555200910365,0.5555381745553352,0.5294635506677516,0.407796962113504
inst3,0.5251899185483659,0.6339280339012578,0.7111751929115869,0.5540991764318737,0.5835730289354973
inst4,0.43916649996533386,0.546389464918352,0.6494210303209176,0.4874659263718153,0.5047774547245136
inst5,0.36016477647019585,0.4557305317286702,0.5246979372690781,0.4023484602659788,0.4166679147233556
inst6,0.5528384630622192,0.6437290567881233,0.6518476718099727,0.6462191595413227,0.44565857777639306
inst7,0.4327644510313988,0.5679996992178313,0.5530941313577814,0.46123630377318636,0.511215105064569
inst8,0.6005781620690829,0.6707309264151634,0.6440840973203431,0.6171702531971861,0.6613745762220011
inst9,0.4622864163596465,0.5783127297397745,0.5386464130092239,0.49511983374379553,0.5634841982079855
inst10,0.29142068160570367,0.4475796312250563,0.5547292545593749,0.29142068160570367,0.4475796312250563
inst11,0.4495203443050496,0.5194435713440966,0.5397663818966527,0.519447103689074,0.4583325629506734
inst12,0.324465701283693,0.6840212767068548,0.7044670431814211,0.5840269479443897,0.24556618397517982
inst13,0.21626282943912478,0.29194950042071,0.4704843446487209,0.35388725801911214,0.2785120612514561
inst14,0.4213060404260013,0.6111837818520522,0.5888349365206249,0.439132231813941,0.49092328810099495
inst15,0.33709001994968146,0.4678502095770236,0.470983807888978,0.38765513955980435,0.43616731254572705
inst16,0.4866686409748989,0.5561891171736018,0.5839992081693357,0.5561931839215225,0.44242229943541844
inst17,0.24307689030472868,0.683365373625352,0.6333664458768129,0.4861466936119242,0.21032965160270212
inst18,0.3236582770222941,0.48547976346988797,0.5296170713948264,0.4854874174647188,0.2912900017445058
inst19,0.4200780782464364,0.5079938723344517,0.5343750119936675,0.43779907920539696,0.49984608789623886
inst20,0.3245522771704361,0.5841886097928848,0.6491004886835894,0.5841940989067851,0.16227613858521794
inst21,0.48625875136895325,0.48625875136895325,0.48625875136895325,0.5557257707748545,0.48625875136895325
inst22,0.32360485990970356,0.5824812819427145,0.6472041901164561,0.5824887478374666,0.16180242995485183
inst23,0.48535731468356436,0.5824262643937611,0.6066982100822023,0.6471472695705118,0.5824262643937611
inst24,0.40227110079337414,0.5546294756778947,0.46623901044797944,0.44614414812390923,0.5546294756778947
inst25,0.41169481725270995,0.5282478108314819,0.5929652945642454,0.43248797650864657,0.5111173685873338
inst26,0.29095586175451305,0.44633036649579627,0.5289892452433576,0.3333312114722178,0.45908829416092556
inst27,0.4235983117267925,0.5547784169472795,0.6148299593646851,0.46436075666064003,0.5227891642063396
inst28,0.64782931265291,0.6727445221163273,0.64782931265291,0.6727462585185278,0.6727445221163273
inst29,0.32436030163236396,0.7298057993732018,0.6081755629103294,0.5838524421373839,0.16218015081618198
inst30,0.08825020281557205,0.36402267813552924,0.34262060574961317,0.2240293377253474,0.06933944506937806
inst31,0.3475587069459476,0.4257544464864643,0.5671502577988166,0.4257611074477927,0.32295425196242933
