,alpha,heuristic,inductive,ILP,split
inst1,19,39,72,90,46
inst2,33,40,65,70,61
inst3,13,19,37,37,25
inst4,63,60,95,96,64
inst5,17,25,43,63,31
inst6,102,98,183,132,105
inst7,14,29,65,77,39
inst8,12,22,37,44,25
inst9,37,33,33,35,33
inst10,30,39,60,38,46
inst11,14,16,16,19,16
inst12,26,47,69,130,57
inst13,7,19,23,25,19
inst14,234,251,231,199,251
inst15,38,55,95,142,83
inst16,26,47,93,66,57
inst17,212,197,265,433,220
inst18,7,19,23,25,19
inst19,15,26,58,64,40
inst20,15,31,67,109,45
inst21,7,19,23,25,19
inst22,163,189,346,194,192
inst23,52,70,80,86,70
inst24,18,19,33,23,19
inst25,248,224,336,745,238
inst26,20,29,40,48,36
inst27,33,51,83,54,61
inst28,89,101,157,346,115
inst29,35,52,92,142,93
inst30,67,76,113,70,83
inst31,7,19,23,25,19
inst32,65,92,165,110,104
inst33,17,18,33,30,29
inst34,12,22,37,44,25
inst35,57,76,165,64,79
inst36,44,71,121,95,85
inst37,57,129,235,404,149
inst38,75,62,84,112,78
inst39,100,109,136,108,116
inst40,41,66,109,116,69
inst41,55,65,101,112,74
inst42,214,203,234,475,184
inst43,66,76,132,89,93
inst44,44,63,107,122,66
inst45,42,58,110,127,72
inst46,114,128,189,229,131
inst47,23,29,44,48,36
inst48,31,53,92,82,56
inst49,80,65,58,77,65
inst50,10,19,34,31,22
inst51,14,25,36,44,28
inst52,45,60,77,110,63
inst53,49,58,77,115,65
inst54,14,16,33,30,25
inst55,176,178,282,343,208
inst56,90,98,145,120,101
inst57,13,15,15,21,15
inst58,10,19,34,31,22
inst59,15,42,96,136,70
inst60,29,56,88,45,59
inst61,107,119,162,138,133
inst62,10,19,34,31,22
inst63,17,29,40,57,32
inst64,16,12,26,27,18
inst65,255,249,355,432,283
inst66,101,116,168,104,116
inst67,96,116,169,115,119
inst68,89,93,119,121,103
inst69,48,64,86,65,64
inst70,19,12,29,31,21
