,alpha,heuristic,inductive,ILP,split
inst1,1.2727272727272727,1.3333333333333333,1.3142857142857143,3.0,1.3636363636363635
inst2,1.2777777777777777,1.263157894736842,1.2666666666666666,2.625,1.24
inst3,1.3061224489795917,1.3,1.2869565217391303,3.689655172413793,1.3134328358208955
inst4,1.03125,1.3,1.323943661971831,2.142857142857143,1.3111111111111111
inst5,0.9210526315789473,1.3617021276595744,1.3333333333333333,3.32,1.4
inst6,0.9090909090909091,1.2,1.2413793103448276,1.6875,1.2380952380952381
inst7,1.4,1.2564102564102564,1.3228346456692914,2.507042253521127,1.2650602409638554
inst8,1.2987012987012987,1.2619047619047619,1.2869565217391303,1.3866666666666667,1.2417582417582418
inst9,1.48,1.3103448275862069,1.56,1.6222222222222222,1.3220338983050848
inst10,0.6428571428571429,1.368421052631579,1.2413793103448276,2.4347826086956523,1.368421052631579
inst11,1.52,1.3076923076923077,1.3170731707317074,2.2,1.2857142857142858
inst12,1.0,1.1111111111111112,1.125,1.8181818181818181,1.2
inst13,1.1666666666666667,1.4285714285714286,1.36,2.380952380952381,1.411764705882353
inst14,1.9722222222222223,1.388235294117647,1.34,5.089743589743589,1.358974358974359
inst15,1.5813953488372092,1.3333333333333333,1.4230769230769231,2.0,1.3018867924528301
inst16,0.6666666666666666,1.1666666666666667,1.2307692307692308,2.5555555555555554,1.2222222222222223
inst17,1.1666666666666667,1.1111111111111112,1.1764705882352942,1.8461538461538463,1.2727272727272727
inst18,1.0,1.2307692307692308,1.2222222222222223,2.0,1.25
inst19,1.5391304347826087,1.3333333333333333,1.3488372093023255,2.4144144144144146,1.2985074626865671
inst20,1.0,1.1111111111111112,1.125,1.8181818181818181,1.2
inst21,1.2,1.2,1.2,1.1666666666666667,1.2
inst22,1.0,1.1111111111111112,1.125,1.8181818181818181,1.2
inst23,1.25,1.1111111111111112,1.2,1.0909090909090908,1.1111111111111112
inst24,1.35,1.32,1.7419354838709677,1.5945945945945945,1.32
inst25,1.54,1.2982456140350878,1.3012048192771084,2.5576923076923075,1.2666666666666666
inst26,1.54,1.4035087719298245,1.3707865168539326,3.759259259259259,1.396551724137931
inst27,1.4634146341463414,1.32,1.3076923076923077,2.1666666666666665,1.320754716981132
