,alpha,heuristic,inductive,ILP,split
inst1,1.0,0.6296296296296295,0.6666666666666666,0.1929824561403509,0.625
inst2,0.8888888888888888,0.6923076923076922,0.6744186046511628,0.2727272727272727,0.7368421052631579
inst3,0.7499999999999999,0.8181818181818181,0.7391304347826086,0.3714285714285714,0.6470588235294118
inst4,0.49019607843137253,0.6190476190476191,0.6119402985074627,0.2941176470588235,0.6363636363636362
inst5,0.8,0.6470588235294118,0.6551724137931035,0.2753623188405797,0.5652173913043479
inst6,0.4482758620689655,0.6000000000000001,0.6124031007751939,0.24183006535947713,0.6000000000000001
inst7,1.0,0.6842105263157894,0.6744186046511628,0.23076923076923078,0.6296296296296295
inst8,1.0,0.7142857142857143,0.7391304347826086,0.30434782608695654,0.6470588235294118
inst9,0.5172413793103449,0.7142857142857143,0.7142857142857143,0.41935483870967744,0.7142857142857143
inst10,0.7777777777777779,0.6296296296296295,0.6190476190476191,0.5714285714285714,0.625
inst11,1.0,1.0,1.0,0.8181818181818181,1.0
inst12,1.0,0.6774193548387096,0.6888888888888889,0.1590909090909091,0.641025641025641
inst13,1.0,0.8181818181818181,0.8461538461538463,0.391304347826087,0.8181818181818181
inst14,0.5191256830601092,0.6228571428571429,0.48148148148148145,0.5570469798657718,0.6228571428571429
inst15,1.0,0.5609756097560976,0.6119402985074627,0.18681318681318682,0.6206896551724138
inst16,1.0,0.6774193548387096,0.6507936507936508,0.30434782608695654,0.641025641025641
inst17,0.4224598930481283,0.5540540540540541,0.5369458128078817,0.143801652892562,0.5776397515527951
inst18,1.0,0.8181818181818181,0.8461538461538463,0.391304347826087,0.8181818181818181
inst19,1.0,0.7499999999999999,0.6842105263157894,0.24324324324324326,0.6923076923076922
inst20,1.0,0.5652173913043479,0.6170212765957447,0.1970802919708029,0.5757575757575757
inst21,1.0,0.8181818181818181,0.8461538461538463,0.391304347826087,0.8181818181818181
inst22,0.536,0.6000000000000001,0.596774193548387,0.3165829145728643,0.5942028985507246
inst23,0.7499999999999999,0.6000000000000001,0.5862068965517241,0.3181818181818181,0.6000000000000001
inst24,0.6666666666666666,0.8181818181818181,0.7142857142857143,0.8461538461538463,0.8181818181818181
inst25,0.388646288209607,0.5662650602409638,0.5772357723577236,0.09705372616984402,0.6000000000000001
inst26,1.0,0.6842105263157894,0.6923076923076922,0.3333333333333333,0.6666666666666666
inst27,1.0,0.6969696969696969,0.6727272727272727,0.37254901960784315,0.6585365853658536
inst28,0.5142857142857142,0.589041095890411,0.5929203539823008,0.08303249097472924,0.5581395348837209
inst29,1.0,0.5789473684210527,0.625,0.1702127659574468,0.6060606060606061
inst30,0.6818181818181818,0.6799999999999999,0.6202531645569621,0.5471698113207547,0.6727272727272727
inst31,1.0,0.8181818181818181,0.8461538461538463,0.391304347826087,0.8181818181818181
inst32,0.9411764705882353,0.625,0.6068376068376068,0.30434782608695654,0.6164383561643836
inst33,0.8,0.6666666666666666,0.7142857142857143,0.5,0.6842105263157894
inst34,1.0,0.7142857142857143,0.7391304347826086,0.30434782608695654,0.6470588235294118
inst35,0.7222222222222222,0.6799999999999999,0.6576576576576577,0.42857142857142855,0.6603773584905661
