,alpha,heuristic,inductive,ILP,split
inst1,0.7419269853463705,0.9994441267604188,1.0,1.0,0.856398652744684
inst2,0.5839938271605022,0.9998108558108559,1.0,1.0,0.8921469460759373
inst3,0.6881973022405199,0.9999376480857963,1.0,1.0,0.8548591803606777
inst4,0.6677062541583468,1.0,1.0,1.0,0.8402258198665347
inst5,0.8996774438372878,0.9998861566484518,1.0,1.0,0.8998975409836145
inst6,0.9994918699186993,0.9992378048780488,1.0,1.0,0.0012703252032520325
inst7,0.7640470106228189,0.9998272008983882,0.999964638419879,1.0,0.9349715642925025
inst8,0.8334020902090358,1.0,1.0,1.0,0.0008250825082508251
inst9,0.8732109748142295,0.9997847744043397,1.0,1.0,0.9054679941636501
inst10,0.9579299746474446,0.9996044455394049,1.0,1.0,0.7871852721954381
inst11,0.999535423925668,1.0,1.0,1.0,0.0009291521486643439
inst12,0.9993859002702038,1.0,1.0,1.0,0.0013510194055514617
inst13,0.9992828456683877,1.0,1.0,1.0,0.0015777395295467585
inst14,0.7326808863069423,0.9052113045462143,1.0,1.0,0.8879062609575743
inst15,0.9558704084694107,0.9997643096905887,1.0,1.0,0.9463092892659447
inst16,0.5510700706137891,0.9998479087452471,1.0,1.0,0.8570634920635047
inst17,0.818094699912903,0.9999444999445001,1.0,1.0,0.9230364429665002
inst18,0.999885452462772,0.9998281786941581,1.0,1.0,0.5001718213058419
inst19,1.0,1.0,1.0,1.0,0.0
inst20,0.9081199720980598,0.9997113997113997,1.0,1.0,0.8093725718725707
inst21,0.9997586290127926,0.998551774076756,1.0,1.0,0.00048274197441467543
inst22,0.7389169722132503,0.9998331850533808,1.0,1.0,0.9374279783087612
inst23,0.999290780141844,0.9994326241134751,1.0,1.0,0.6670496453900627
inst24,0.9992193598750976,0.9992193598750976,1.0,1.0,0.0018214936247723135
inst25,0.7373619814980585,0.999872106407469,1.0,1.0,0.7352645265805408
inst26,0.7781889329806209,0.9998511904761904,1.0,1.0,0.9354599534063828
inst27,0.9995210727969349,1.0,1.0,1.0,0.0011174968071519797
inst28,0.8676421957671807,0.999834656084656,1.0,1.0,0.7230489417989393
inst29,0.6414320356284615,1.0,1.0,1.0,0.8492633826667385
inst30,0.8336148648648644,0.9998310810810811,1.0,1.0,0.6664189189189047
inst31,0.8745562448942834,0.9985405959402985,1.0,1.0,0.8629494380887338
inst32,0.8338588588588716,0.9972972972972973,1.0,1.0,0.0009009009009009009
inst33,0.583714413808574,1.0,1.0,1.0,0.8406476136133103
inst34,0.5017208774583963,0.9992551269120858,1.0,1.0,0.8260994699534975
inst35,0.7873051589393709,1.0,1.0,1.0,0.8126652069278415
inst36,0.746064157196969,0.9997632575757577,1.0,1.0,0.7764322916666561
inst37,0.9995993589743589,1.0,1.0,1.0,0.0009348290598290599
inst38,0.8339302769818571,0.9998209169054442,1.0,1.0,0.7996520671305561
inst39,0.8707648334404227,0.9994202038957835,1.0,1.0,0.9309821688991622
inst40,0.6618579641838224,0.9998717677941042,1.0,1.0,0.9035026087255883
inst41,0.8844566986958313,0.999834787455954,1.0,1.0,0.9456797164435234
inst42,0.8758559636076069,0.9997735350004258,1.0,1.0,0.9366164375230248
inst43,0.8334232320580449,0.9999544937428897,1.0,1.0,0.9229753295623472
inst44,0.9996584699453552,0.9995901639344261,1.0,1.0,0.6664845173041755
inst45,0.9997696383321816,0.9997235659986178,1.0,1.0,0.6665054134991799
inst46,0.744475364232714,0.9996906971211039,1.0,1.0,0.8673274550156528
inst47,0.9996530187369881,0.9993060374739764,1.0,1.0,0.0008096229470275272
inst48,0.8337212911235374,0.9996896337678459,1.0,1.0,0.666527001862192
inst49,0.7323784329192192,0.9997009572199307,1.0,1.0,0.9417516274404516
inst50,1.0,1.0,1.0,1.0,0.6666666666666551
inst51,0.9996237772761475,0.9995485327313769,1.0,1.0,0.666716829696502
inst52,0.9989075018208303,1.0,1.0,1.0,0.0027919397912114594
inst53,0.9995741056218058,0.9991482112436116,1.0,1.0,0.0009937535491198184
inst54,0.9356203790482192,0.9998090874379535,1.0,1.0,0.8528179414133089
inst55,0.7890969135036421,0.9998731672055131,1.0,1.0,0.93538352983671
inst56,0.8516685671344496,0.9993990064675754,1.0,1.0,0.8843897482192775
inst57,0.6677098674521236,1.0,1.0,1.0,0.8393876864421738
inst58,0.761686479021555,1.0,1.0,1.0,0.9039386200026522
inst59,0.8335805266591184,0.9990346871745573,1.0,1.0,0.8609573145351733
inst60,0.5801635636570058,0.99985007748804,1.0,1.0,0.960250803246228
inst61,0.5844025401762639,0.9998889135747612,1.0,1.0,0.7998500333259089
inst62,0.8339918582375522,0.9995689655172414,1.0,1.0,0.6662356321838953
inst63,0.8199904913883436,0.9998890595664791,1.0,1.0,0.9080911521771766
inst64,0.8843070206806178,0.9682028333360141,1.0,1.0,0.8650436108704315
