,alpha,heuristic,inductive,ILP,split
inst1,0.511887818194545,0.9506434978550071,0.6877860680920433,0.7395334726623071,1.0
inst2,0.6561506904720633,0.8751663099438884,0.6666226157437998,0.999735746845478,1.0
inst3,0.7502388687177527,1.0,1.0,0.749047256097561,1.0
inst4,0.9616738365271803,0.8935086277732128,0.5741586379833707,0.950720076924758,1.0
inst5,0.5010412328196585,1.0,1.0,0.5006927126627875,1.0
inst6,0.5460212253915651,0.7162152849562401,0.37741682922621655,0.5289402036906323,1.0
inst7,0.37513329068031565,1.0,0.583226723525231,0.38876255448171304,1.0
inst8,0.5007770007770007,1.0,1.0,0.5007757951900698,1.0
inst9,0.9998751872191712,0.9999041319144857,0.9999041319144857,0.9422712078778571,1.0
inst10,0.789344476364586,1.0,0.4686114641783179,0.9994710394075641,1.0
inst11,1.0,1.0,1.0,1.0,1.0
inst12,0.4042347637066259,0.9999313940724479,0.9997345191478064,0.5423417584791532,1.0
inst13,0.5005679666792882,1.0,1.0,0.5011346444780636,1.0
inst14,0.6418641324646222,0.812891776408491,0.17033287103461814,0.7789382261925615,1.0
inst15,0.5905765994711356,0.770534778049633,0.5530275886778933,0.553071624795955,1.0
inst16,0.3329462165789202,0.9996799829324231,0.3995300538164178,0.47305362351357416,1.0
inst17,0.5822535447860911,0.6766737764706738,0.20928090118713105,0.7476261204342075,1.0
inst18,0.5004444444444445,1.0,1.0,0.5008880994671403,1.0
inst19,0.47599715822592104,1.0,0.5214826254826255,0.39974901737936264,1.0
inst20,0.523138568660295,1.0,0.4996548947428966,0.499138129165709,1.0
inst21,0.5004775549188156,1.0,1.0,0.5009541984732824,1.0
inst22,0.21925349744527334,0.7162671973695596,0.23102521624950145,0.5800332500921681,1.0
inst23,0.39865532924658886,0.8575505847410433,0.6721287623897427,0.7500913334686422,1.0
inst24,1.0,1.0,0.5454191336865066,0.9998571836618109,1.0
inst25,0.9863285326654143,0.3813253520357769,0.1910359336700771,0.6712812420995737,1.0
inst26,0.4997371464619914,1.0,0.9995795374912404,0.4997197309417041,1.0
inst27,0.2887886222813657,0.999859164847546,0.7680782754930439,0.7684307127561946,1.0
inst28,0.2735188562687533,0.4242973586324511,0.26292922905082994,0.42296767033518745,1.0
inst29,0.2842214470439647,0.5192714126807564,0.4949336265807871,0.6111147032199664,1.0
inst30,0.7675473897477172,0.9995338156327158,0.7183125948406677,0.9576299988671123,1.0
inst31,0.500418410041841,1.0,1.0,0.5008361204013378,1.0
inst32,0.3242154694172058,0.7931358873714601,0.46473327125182917,0.6735801494532307,1.0
inst33,1.0,1.0,0.9999324461257854,0.6664565511031066,1.0
inst34,0.5005696923661223,1.0,1.0,0.5005690440060698,1.0
inst35,0.3927110023327852,0.7567373234778108,0.3129590697915856,0.6124706748240489,1.0
inst36,0.31914295570404627,0.9572161567840747,0.3060509554140127,0.8350656729387387,1.0
inst37,0.16481669731994386,0.8592943009795191,0.5708136598221148,0.2770519703392089,1.0
inst38,0.9180856597884516,0.6910594124405055,0.6366848699004176,0.833720987776513,1.0
inst39,0.5030584503851382,0.999558222582189,0.4683974469553217,0.9994110935257094,1.0
inst40,0.5192782377753475,0.8926710174186582,0.634648211370046,0.5302175556035413,1.0
inst41,0.34173063668987813,0.7657372501600398,0.789050255981611,0.6723447191144613,1.0
inst42,0.8239061551944987,0.41959050634096995,0.2356375016349922,0.6243069103604066,1.0
inst43,0.5006022979985174,0.9396980889674,0.39505062616573405,0.8765149275790718,1.0
