log,no_distinct_traces,no_total_traces,avg_trace_length,avg_event_repetition_intra_trace,no_distinct_events,no_events_total,no_distinct_start,no_distinct_end,density,length_one_loops,total_no_activities,percentage_concurrency,percentage_sequence,dfg_mean_variable_degree,dfg_variation_coefficient_variable_degree,dfg_min_variable_degree,dfg_max_variable_degree,dfg_entropy_variable_degree,dfg_wcc_min,dfg_wcc_max
1858803897,3.0,1063.0,0.0037629350893697085,0.0009407337723424271,2.0,1064.0,2.0,2.0,0.25,0.5,2,0.25,0.0,2.5,0.34641016151377546,2,4,1.3321790402101223,0.0,0.0
1016267488,7.0,1373.0,0.009468317552804079,0.0014566642388929353,6.0,1380.0,1.0,6.0,0.3055555555555556,0.16666666666666666,6,0.027777777777777776,0.1388888888888889,3.25,0.7956984948298924,1,9,1.8174407758294144,0.0,0.0
481818532,15.0,1458.0,0.05555555555555555,0.0027434842249657062,10.0,7296.0,2.0,1.0,0.38,0.2,10,0.08,0.15,4.333333333333333,0.7614996105085896,1,11,2.2152491765654116,0.12150174934347997,0.12150174934347997
442828007,31.0,1038.0,0.3198458574181118,1.4007707129094413,30.0,10302.0,4.0,2.0,0.09777777777777778,0.0,30,0.013333333333333334,0.04555555555555556,3.6875,0.8343047101178962,2,14,3.1984289914171184,0.005752835157990079,0.005752835157990079
293683683,21.0,1325.0,0.08981132075471698,0.47924528301886793,22.0,7263.0,3.0,1.0,0.1446280991735537,0.09090909090909091,22,0.004132231404958678,0.07024793388429752,3.3333333333333335,0.6164414002968976,1,9,3.0124447029484305,0.0008959324113661666,0.0008959324113661666
2188601993,6.0,1407.0,0.014214641080312722,0.0014214641080312722,6.0,4223.0,2.0,1.0,0.4444444444444444,0.3333333333333333,6,0.05555555555555555,0.19444444444444445,3.0,0.5527707983925666,1,6,1.9327162775771973,0.0,0.0
3254344536,15.0,1394.0,0.054519368723098996,0.0,14.0,6971.0,3.0,4.0,0.22448979591836735,0.0,14,0.030612244897959183,0.09693877551020408,4.0,0.7342087577794206,2,12,2.546299420821623,0.0774498595335943,0.0774498595335943
3104400685,6.0,1198.0,0.011686143572621035,0.0008347245409015025,6.0,2398.0,4.0,2.0,0.3055555555555556,0.16666666666666666,6,0.027777777777777776,0.1388888888888889,3.0,0.6666666666666666,2,8,1.9072839993213793,0.0,0.0
254660268,18.0,1105.0,0.14479638009049775,0.5058823529411764,20.0,8069.0,1.0,2.0,0.1375,0.05,20,0.0025,0.0675,2.8181818181818183,0.4740947889257764,1,7,2.9935023401974705,0.0003905696022914081,0.0003905696022914081
2303843398,91.0,1249.0,2.422738190552442,6.526020816653323,42.0,22556.0,2.0,3.0,0.08163265306122448,0.047619047619047616,42,0.003401360544217687,0.0391156462585034,3.6363636363636362,0.7691310031457579,2,12,3.547978977612943,0.0040344239315565356,0.0040344239315565356
